fiber ra dec sky row r "r group" Z t V sigma dV dsigma V_gas dV_gas sigma_gas dsigma_gas Hdelta Hgamma Hbeta [OIII]5007d [OI]6300d reddening
77 -29.56 -16.89 0 70 34.0450539726 2 -0.9766979386974562 1.5348466536381917 -589.6690399697688 -1748.2598651463718 9.096109236447127 95.46837051097226 -1748.2598651463718 95.46837051097226 213.24016848319582 76.3465796624377 0.0 0.10514636969096094 0.16332925489238118 0.0007764765309279082 0.0 0.0
19 9.85 33.77 0 16 35.1772000023 1 -0.3569121997841617 8.474033300510746 -116.71641513743246 -1737.2255554805029 9.684639266661602 124.9578744115704 -1737.2255554805029 124.9578744115704 366.5621002938944 88.22304451597901 0.0 0.11479591956549004 0.0 0.010842715413526247 0.8662146453267648 0.01071333231585044
29 9.85 -33.77 0 25 35.1772000023 1 -1.133914816541253 1.0173990308829748 -227.66361079401915 96.12554122528246 32.99171857921243 193.44877210771094 96.12554122528246 193.44877210771094 718.4789165758236 210.0111759369562 0.0 0.23486232889021808 0.7745408467451189 0.0 0.06107191162980839 0.0
39 -9.85 33.77 0 34 35.1772000023 1 -0.47257388171642356 1.0380267130921736 324.6209113950944 467.95764110903497 38.9220133332313 1080.6050298504235 467.95764110903497 1080.6050298504235 551.7317250608796 487.1420316906354 0.0 0.0 0.0 0.028975228786917752 0.5318277968219078 0.0
50 -9.85 -33.77 0 45 35.1772000023 1 -0.26505434304644127 4.898650214777705 576.449089254313 234.33790151539324 23.2596185767283 1410.7478160963299 234.33790151539324 1410.7478160963299 331.80064572517284 358.28270807426935 0.0 0.0 0.0 0.636599666524513 0.24373339067161412 0.0
7 24.64 25.33 0 5 35.3374942519 1 -0.10920930846078458 1.4062132247766876 -68.56224651557693 -68.56224651557693 2226138337654.6943 33.11678995914885 -68.56224651557693 33.11678995914885 8.218185642043743 0.6948307317917317 276727.4100580569 168603.54678432917 143144347.78636137 1082240.392326433 146259427203554.0 0.0
11 24.64 -25.33 0 9 35.3374942519 1 -0.15517159822697874 3.2989431361989086 -377.5480699429387 -756.6082110928661 10.628076341685393 597.4345399637647 -756.6082110928661 597.4345399637647 97.57986508153199 443.65283280012306 0.0 0.0 0.28244661775081115 0.1592541479923061 0.0 0.18568880119769135
55 -24.64 25.33 0 49 35.3374942519 1 -0.49851667231295965 1.047303183400365 -494.7895767522045 1519.6328652939853 292092026098.7975 0.0 1519.6328652939853 0.0 1000.0 0.0 0.9028392937964086 0.12169403015055259 0.23182054648146827 0.0 0.06530781967111557 0.3944529743933631
81 -24.64 -25.33 0 73 35.3374942519 1 -1.5269916294964054 2.6821762868514343 109.00396250817467 49.22533229964605 0.0 230.4860758763767 49.22533229964605 230.4860758763767 1000.0 0.0 1.1254247793508831 1.1642078508020675 0.5656218115410061 0.0 0.0 0.0
9 34.49 8.44 0 7 35.5076569207 1 -0.7160215178021069 2.152468083194881 -173.21183348447568 -244.7454850454282 703.9593912169505 157.62850821547417 -244.7454850454282 157.62850821547417 999.5026495299319 234.48799382090095 0.47901609274671847 0.6578826849524327 0.2447389273057128 0.09015644469596318 0.0 0.5518549563895645
13 34.49 -8.44 0 11 35.5076569207 1 -0.6422115494244163 9.49819178058906 -7.458972902025849 -88.36917345603379 18.023212360635846 109.39230455542305 -88.36917345603379 109.39230455542305 511.1727685570194 83.10275991812891 1.6730372052353435 0.0 0.777696874648799 0.0 0.13662648825081852 0.0
74 -34.49 -8.44 0 67 35.5076569207 1 -1.5857689867994564 1.0562918722275927 632.4006102941105 1027.4576803136829 24.63788700670608 347.3965133043396 1027.4576803136829 347.3965133043396 644.6893664737844 343.58724507662697 0.20529571743402655 0.21450357438744247 0.2466985352232855 0.03421386259030272 0.561994206027509 0.0
76 -34.49 8.44 0 69 35.5076569207 1 0.07310442653258169 1.0657565918908225 -161.17681790025128 -105.73654755387608 3.5946585305928354 0.0 -105.73654755387608 0.0 254.05984758056044 0.0 0.0 0.0 0.0 0.0 0.0 0.0
17 19.71 33.77 0 14 39.1011125161 10 -0.9853037590781024 1.1066902840452275 2467.8430234604207 2412.778231212246 120.12689728499981 140.80384099816857 2412.778231212246 140.80384099816857 1000.0 0.0 2.8017503939470316 3.3827540069504876 1.9645190827379038 0.0 0.0 0.8172636593338423
35 19.71 -33.77 0 31 39.1011125161 10 -0.8481219998905035 1.1086074609852603 531.456933048467 -96.11813486825369 144.84222172027572 661706750640.2865 -96.11813486825369 661706750640.2865 105.86601247289838 661706750640.3331 123042162.47078106 0.0 0.0 0.0 4526444608757684.0 3.0112600913900978
36 -19.71 33.77 0 32 39.1011125161 10 -1.59215323122006 1.129308700456582 94.36809054893202 183.32523391094966 35.45533849322286 180.22513536619743 183.32523391094966 180.22513536619743 1000.0 0.0 0.0 1.168904415482745 0.3140040595921094 0.0 0.5010652862971243 0.0
69 -19.71 -33.77 0 63 39.1011125161 10 -0.49914803499822813 1.06601462405248 1429.7558871489762 3499.553085630821 22.797284010538757 6.616698791206102 3499.553085630821 6.616698791206102 8.400384556167522 7.071388805008924 0.09598257367586702 0.0 0.0 0.16949325058924936 82150231257551.39 0.0
3 34.49 25.33 0 1 42.792160497 9 -1.3135802630278877 5.08681122086423 100.87261383083337 2061.8063935096097 0.0 2.4288492490931586 2061.8063935096097 2.4288492490931586 9.085130143322791 3.3383478020961386 0.15975774786884842 0.0 0.08912452080222986 0.19404543016417114 90106940882511.89 0.23933182971587258
10 34.49 -25.33 0 8 42.792160497 9 -1.013091587208262 1.5244874362283947 2951.862183057687 2955.923315761018 71.72532582411802 0.0 2955.923315761018 0.0 1000.0 0.0 1.4976575795589226 2.7215944369071035 2.1657201810009536 0.18077660983732796 0.0 0.0
59 -34.49 25.33 0 53 42.792160497 9 -0.04086668768767297 3.856864581300267 363.28915923158024 -1420.5340118345828 21.22891997104486 92.40273505466978 -1420.5340118345828 92.40273505466978 222.12089632792197 70.03434506711976 0.9598065804921431 0.0 0.0 0.08402374304691905 0.0 0.0
78 -34.49 -25.33 0 71 42.792160497 9 -1.31633397484046 1.1148502757804255 852.662700188924 1079.2052613351414 123.43330912594642 78.68737747561661 1079.2052613351414 78.68737747561661 1000.0 0.0 0.0 1.9273881815496523 2.1660943389659 0.0 0.0 0.0
6 29.56 33.77 0 4 44.8799119874 8 -1.3237957339207844 2.267326164879207 2020.0422120658443 586.2820466034493 112.55295237140174 705.1070411072302 586.2820466034493 705.1070411072302 827.8196631423136 395.64420048926 0.0 0.044107781956147306 1.689414318794081 0.056042086905329226 0.0 0.0
12 29.56 -33.77 0 10 44.8799119874 8 -1.2743793640694745 5.201609900965262 1497.4012231776435 1497.4012231776435 0.0 0.0 1497.4012231776435 0.0 1000.0 0.0 0.12462887841243468 0.2966030146808753 0.4253193907992616 1.8162572694634913 3.8956029122413023 0.0
57 -29.56 33.77 0 51 44.8799119874 8 0.011925514801693031 8.725487554344967 -1954.6356017445498 -1577.691460062729 3.6030511942878043 688.9938380592537 -1577.691460062729 688.9938380592537 619.2550337522395 611.6708950046632 0.20738993651388035 0.0 0.0 0.052651788839122006 0.0 0.0644659493909564
72 -29.56 -33.77 0 65 44.8799119874 8 -1.286804033635017 1.0670972014032603 -1289.9112960071975 -1289.9112960071975 0.0 0.0 -1289.9112960071975 0.0 8.218185644223018 0.0 0.1429195443003904 0.0 0.0 0.0 0.0 0.0
16 0.0 61.92 1 -9999 61.92 -9999 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
80 -64.05 2.81 1 -9999 64.111610493 -9999 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
2 -29.56 61.92 1 -9999 68.613992742 -9999 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
22 29.56 61.92 1 -9999 68.613992742 -9999 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
70 -64.05 -30.96 1 -9999 71.1401721955 -9999 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
54 -64.05 36.59 1 -9999 73.7646975185 -9999 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
37 -59.12 61.92 1 -9999 85.6111020838 -9999 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
